id,retweetCount,likeCount,replyCount,quoteCount,usernames,datenew,date,class,tweets,engagments,day,month,year,url
1461685691260276744,106,235,33,8,TurkiShalhoub,2021-11-19,2021-11-19 13:20:00+00:00,Extreem,"الشريك الاستراتيجي لرابطة العالم الإسلام توني بلير: ""#الإسلام السياسي تهديد من الدرجة الأولى""

الإرهـ ـابيُّ هذا يُهاجم الإسلام وهو الذي كان سببًا في قتل ملايين المسلمين وتهجيرهم وتخريب أوطانهم ! https://t.co/dTTo7EPGNE",382,19,11,2021,https://twitter.com/TurkiShalhoub/status/1461685691260276744
1472282148556128268,30,308,27,16,InfidelsQuotes,2021-12-18,2021-12-18 19:06:32+00:00,Extreem,"أشكر الله على أنني ملحد.

- جورج برنارد شو https://t.co/0OEgIYBmR0",381,18,12,2021,https://twitter.com/InfidelsQuotes/status/1472282148556128268
1483433721835540486,172,163,38,8,Salehjoraibi,2022-01-18,2022-01-18 13:38:54+00:00,Extreem,"نشكر الأمم المتحدة على تهريبها للسلاح والألغام والقنابل والصواعق عبر إرسالياتها الرسمية الإغاثية إلى مليشيا الحوثي الإيرانية لقتل المدنيين والأطفال في اليمن.
شكراً لجهودكم في قتل الإنسان.
@UN
@UNICCairo
@UNNewsArabic
@UNarabic https://t.co/GJDJHftz75",381,18,1,2022,https://twitter.com/Salehjoraibi/status/1483433721835540486
1487517848608157704,9,297,72,3,aleasima_17,2022-01-29,2022-01-29 20:07:46+00:00,Extreem,"ولله تحرق مليون مرة يلي قتل اولادنا بالطيران المسير الأماراتي مكسد في طرابلس واللي قتل اولادنا ايضا في الشرق بطيران المسير التركي مكسد في بنغازي الله المستعان امتى الاستفاقه ايها الشعب التعبان 
#العاصمة",381,29,1,2022,https://twitter.com/aleasima_17/status/1487517848608157704
1468970421231898630,51,296,30,4,omar_zain_aldin,2021-12-09,2021-12-09 15:46:55+00:00,Extreem,اكرم السيد الخبير العسكري ل #حزب_الله كان رايح يحرر فلسطين بس قُتل بمأرب باليمن https://t.co/bLeORZ6jJV,381,9,12,2021,https://twitter.com/omar_zain_aldin/status/1468970421231898630
1463187169053401098,152,211,10,7,jvmmHKm9YhCnILc,2021-11-23,2021-11-23 16:46:20+00:00,Extreem,"#هيقتلوك_ويقولوا_ارهابي دفعت حكومة عبد الفتاح السيسي 3.2 مليار يورو ل لشراء صفقة أسلحة فرنسية في 2015، وبعدها بدأت #العملية_سيرلي التي لم يكن الهدف منها محاربة التشدد الإسلامي القادم من ليبيا بل قتل المدنيين المصريين في صحراءليبيا 

 https://t.co/m5gXwJr7Ym",380,23,11,2021,https://twitter.com/jvmmHKm9YhCnILc/status/1463187169053401098
1409274499179163649,56,318,6,0,DrSamiAmeri,2021-06-27,2021-06-27 22:16:38+00:00,Extreem,"الحساب الذي أعاد #العجوز_السفيه تغريد منشوره، وأيّده؛ صاحبه ملحد عقور، يستهزأ برسول الله صلّى الله عليه وسلّم وبالقرآن صراحة..
#اتحاد_زنادقة_العرب"" كان يدعو سابقًا إلى ""إسلام مُعدَّل، بلا روح ولا فاعلية على الأرض""، وهو اليوم ينادي بردّة جماعيّة بلا مساحيق تجميلية..!",380,27,6,2021,https://twitter.com/DrSamiAmeri/status/1409274499179163649
1488917851205423112,8,317,53,2,z_barbouseh,2022-02-02,2022-02-02 16:50:53+00:00,Extreem,"في ناس عقلها داعشي و هي لابسة طقم و كرافات.. 🙂
و شكراً 
#ملاحظات_زينة
#مش_بربسة",380,2,2,2022,https://twitter.com/z_barbouseh/status/1488917851205423112
1490798905885347844,42,298,37,3,michel_fallah,2022-02-07,2022-02-07 21:25:31+00:00,Extreem,"تحدّثت ""هيومن رايتس ووتش""عن""عيوب""في تحقيقات ٤جرائم ذات حساسية سياسية:الباحث لقمان سليم،المصور جو بجاني،العقيد المتقاعد منير بو رجيلي،أنطوان داغر رئيس قسم إدارة مخاطر الاحتيال في بنك""بيبلوس"".
وأنها""ارتكبت على أيدي مجموعات ذات نفوذ سياسي""

بكلام آخر:حزب الشيطان قتل كل هؤلاء.
واضحة؟",380,7,2,2022,https://twitter.com/michel_fallah/status/1490798905885347844
1383793848694894596,74,263,33,10,sameh_asker,2021-04-18,2021-04-18 14:45:37+00:00,Extreem,"الصورة للشهيد ""نبيل حبشي"" الذي أعدمه الإرهابيون في #سيناء بتهمة (أنه مسيحي)
الدواعش واضح أنهم يستهدفون فئتين بسيناء:
الأولى: المتعاونة مع الجيش المصري
الثانية: من الأقليات الدينية المخالفة للمذهب السلفي (مسيحي شيعي ملحد صوفي..إلخ)
التكفير جريمة..ويجب أن تُمنَع بالقانون.. https://t.co/cAn2nHoLSo",380,18,4,2021,https://twitter.com/sameh_asker/status/1383793848694894596
